,bigramma,counts
3,presidente della,3
4,della repubblica,3
60,e con,2
2,il presidente,2
68,del presidente,2
6,per la,2
67,all'appello del,2
34,con i,2
0,buongiorno ringrazio,1
116,generazioni e,1
117,e al,1
118,al rafforzamento,1
119,rafforzamento della,1
120,della coesione,1
121,coesione sociale,1
123,con grande,1
122,sociale con,1
114,delle giovani,1
124,grande rispetto,1
125,rispetto mi,1
126,mi rivolgerò,1
127,rivolgerò innanzitutto,1
128,innanzitutto al,1
129,al parlamento,1
130,parlamento espressione,1
115,giovani generazioni,1
112,al futuro,1
113,futuro delle,1
102,fare molto,1
94,le risorse,1
95,risorse straordinarie,1
96,straordinarie dell'unione,1
97,dell'unione europea,1
98,europea abbiamo,1
99,abbiamo l'opportunità,1
100,l'opportunità di,1
101,di fare,1
103,molto per,1
132,della volontà,1
104,per il,1
105,il nostro,1
106,nostro paese,1
107,paese con,1
108,con uno,1
109,uno sguardo,1
110,sguardo attento,1
111,attento al,1
131,espressione della,1
135,sono fiducioso,1
133,volontà popolare,1
165,repubblica scioglierò,1
157,capacità di,1
158,di dare,1
159,dare una,1
160,una risposta,1
161,risposta responsabile,1
162,responsabile e,1
163,e positiva,1
164,positiva all'appello,1
166,scioglierò la,1
155,essa la,1
167,la riserva,1
168,riserva al,1
169,al termine,1
170,termine delle,1
171,delle consultazioni,1
172,consultazioni buongiorno,1
173,buongiorno e,1
174,e buona,1
156,la capacità,1
154,con essa,1
134,popolare sono,1
143,gruppi parlamentari,1
92,abbiamo disposizione,1
136,fiducioso che,1
137,che dal,1
138,dal confronto,1
139,confronto con,1
140,i partiti,1
141,partiti e,1
142,e gruppi,1
144,parlamentari e,1
153,unità e,1
145,e dal,1
146,dal dialogo,1
147,dialogo con,1
148,con le,1
149,le forze,1
150,forze sociali,1
151,sociali emerga,1
152,emerga unità,1
93,disposizione le,1
88,le sfide,1
91,ci abbiamo,1
25,momento difficile,1
27,presidente ha,1
28,ha ricordato,1
29,ricordato la,1
30,la drammatica,1
31,drammatica crisi,1
32,crisi sanitaria,1
33,sanitaria con,1
35,i suoi,1
36,suoi gravi,1
37,gravi effetti,1
38,effetti sulla,1
39,sulla vita,1
40,vita delle,1
41,delle persone,1
42,persone sull'economia,1
43,sull'economia sulla,1
44,sulla società,1
26,difficile il,1
24,un momento,1
46,la consapevolezza,1
23,è un,1
5,repubblica per,1
7,la fiducia,1
8,fiducia che,1
9,che mi,1
10,mi ha,1
11,ha voluto,1
12,voluto accordare,1
13,accordare conferendo,1
14,conferendo mi,1
15,mi di,1
16,di incarico,1
17,incarico per,1
18,la formazione,1
19,formazione del,1
20,del nuovo,1
21,nuovo governo,1
22,governo è,1
45,società la,1
47,consapevolezza delle,1
90,che ci,1
71,la pandemia,1
73,completare la,1
74,la campagna,1
75,campagna vaccinale,1
76,vaccinale offrire,1
77,offrire risposte,1
78,risposte ai,1
79,ai problemi,1
80,problemi quotidiani,1
81,quotidiani dei,1
82,dei cittadini,1
83,cittadini rilanciare,1
84,rilanciare il,1
85,il paese,1
86,paese sono,1
87,sono le,1
1,ringrazio il,1
89,sfide che,1
72,pandemia completare,1
70,vincere la,1
48,delle emergenze,1
69,repubblica vincere,1
49,emergenze richiede,1
50,richiede risposte,1
51,risposte all'altezza,1
52,all'altezza della,1
53,della situazione,1
54,situazione ed,1
55,ed è,1
56,è con,1
57,con questa,1
58,questa speranza,1
59,speranza e,1
61,con questo,1
62,questo impegno,1
63,impegno che,1
64,che rispondono,1
65,rispondono positivamente,1
66,positivamente all'appello,1
175,buona giornata,1
